Mode,Bessel_omega_rad_s,Bessel_hat_omega,Det_hat_omega,SVD_hat_omega,SVD_Rel_Err,Det_Rel_Err
22,-0.003258079386329345,-9.872967837361651,-1.128009,-1.646371,8.33e-01,8.86e-01
23,-0.0032566511769883087,-9.868639930267602,-1.128009,-1.646371,8.33e-01,8.86e-01
24,-0.003252366587592809,-9.855656326038815,-1.128009,-1.646371,8.33e-01,8.86e-01
25,-0.00325093840407514,-9.851328497197395,-1.128009,-1.646371,8.33e-01,8.85e-01
26,-0.0032495102271405283,-9.84700068830463,-1.128009,-1.646371,8.33e-01,8.85e-01
27,-0.003248082056607494,-9.842672898810589,-1.128009,-1.646371,8.33e-01,8.85e-01
28,-0.0032466538925717153,-9.838345129005198,-1.128009,-1.646371,8.33e-01,8.85e-01
29,-0.0032452257350372546,-9.834017378900771,-1.128009,-1.646371,8.33e-01,8.85e-01
30,-0.0032409413015779807,-9.821034247206002,-1.128009,-1.646371,8.32e-01,8.85e-01
31,-0.0032395131701699075,-9.816706576272447,-1.128009,-1.646371,8.32e-01,8.85e-01
32,-0.003238085045309748,-9.812378925181054,-1.128009,-1.646371,8.32e-01,8.85e-01
33,-0.0032366569269882913,-9.808051293903914,-1.128009,-1.646371,8.32e-01,8.85e-01
34,-0.0032352288152599313,-9.803723682605852,-1.128009,-1.646371,8.32e-01,8.85e-01
35,-0.0032309445195238457,-9.790740968254077,-1.128009,-1.646371,8.32e-01,8.85e-01
36,-0.003229516434141871,-9.786413436793548,-1.128009,-1.646371,8.32e-01,8.85e-01
37,-0.0032280883553691972,-9.782085925361203,-1.128009,-1.646371,8.32e-01,8.85e-01
38,-0.0032266602832591823,-9.777758434118734,-1.128009,-1.646371,8.32e-01,8.85e-01
39,-0.003225232217691963,-9.77343096270292,-1.128009,-1.646371,8.32e-01,8.85e-01
40,-0.0032238041588048003,-9.769103511529698,-1.128009,-1.646371,8.31e-01,8.85e-01
41,-0.0032195200220550926,-9.756121278954826,-1.128009,-1.646371,8.31e-01,8.84e-01
42,-0.003218091989806162,-9.751793908503522,-1.128009,-1.646371,8.31e-01,8.84e-01
43,-0.0032166639643381963,-9.747466558600594,-1.128009,-1.646371,8.31e-01,8.84e-01
44,-0.003215235945359469,-9.743139228362027,-1.128009,-1.646371,8.31e-01,8.84e-01
45,-0.0032138079331883542,-9.738811918752589,-1.128009,-1.646371,8.31e-01,8.84e-01
46,-0.003209523936924103,-9.725830111891222,-1.128009,-1.646371,8.31e-01,8.84e-01
47,-0.003208095951646217,-9.721502883776415,-1.128009,-1.646371,8.31e-01,8.84e-01
48,-0.0032066679730890523,-9.71717567602743,-1.128009,-1.646371,8.31e-01,8.84e-01
49,-0.0032052400013002505,-9.712848488788637,-1.128009,-1.646371,8.30e-01,8.84e-01
50,-0.00320381203627282,-9.708521322038848,-1.128009,-1.646371,8.30e-01,8.84e-01
51,-0.0031995281816655017,-9.695539944440915,-1.128009,-1.646371,8.30e-01,8.84e-01
52,-0.003198100244161032,-9.691212861094035,-1.128009,-1.646371,8.30e-01,8.84e-01
53,-0.0031966723128643375,-9.686885796558599,-1.128009,-1.646371,8.30e-01,8.84e-01
54,-0.0031952443885973148,-9.682558753325196,-1.128009,-1.646371,8.30e-01,8.84e-01
55,-0.003193816471150959,-9.678231730760482,-1.128009,-1.646371,8.30e-01,8.83e-01
56,-0.0031923885605241423,-9.673904728861038,-1.128009,-1.646371,8.30e-01,8.83e-01
57,-0.003188104869827805,-9.660923847963046,-1.128009,-1.646371,8.30e-01,8.83e-01
58,-0.0031866769866595716,-9.656596929271428,-1.128009,-1.646371,8.30e-01,8.83e-01
59,-0.0031852491103641647,-9.652270031406559,-1.128009,-1.646371,8.29e-01,8.83e-01
60,-0.003183821240954985,-9.647943154409045,-1.128009,-1.646371,8.29e-01,8.83e-01
61,-0.003182393378463522,-9.64361629837431,-1.128009,-1.646371,8.29e-01,8.83e-01
62,-0.003178109832432628,-9.630635855856449,-1.128009,-1.646371,8.29e-01,8.83e-01
63,-0.0031766819976248887,-9.626309083711783,-1.128009,-1.646371,8.29e-01,8.83e-01
64,-0.003175254169529756,-9.62198233190835,-1.128009,-1.646371,8.29e-01,8.83e-01
65,-0.003173826348848408,-9.617655602570933,-1.128009,-1.646371,8.29e-01,8.83e-01
66,-0.003172398534903202,-9.613328893646067,-1.128009,-1.646371,8.29e-01,8.83e-01
67,-0.003170970727932043,-9.609002205854676,-1.128009,-1.646371,8.29e-01,8.83e-01
68,-0.0031666873489592955,-9.596022269573623,-1.128009,-1.646371,8.28e-01,8.82e-01
69,-0.003165259569980431,-9.591695666607366,-1.128009,-1.646371,8.28e-01,8.82e-01
70,-0.003163831798018618,-9.587369084904903,-1.128009,-1.646371,8.28e-01,8.82e-01
71,-0.0031624040330961592,-9.583042524533816,-1.128009,-1.646371,8.28e-01,8.82e-01
72,-0.0031609762752140198,-9.57871598549703,-1.128009,-1.646371,8.28e-01,8.82e-01
73,-0.0031566930438847113,-9.565736496620337,-1.128009,-1.646371,8.28e-01,8.82e-01
74,-0.0031552653142702895,-9.561410043243301,-1.128009,-1.646371,8.28e-01,8.82e-01
75,-0.00315383759172703,-9.55708361129403,-1.128009,-1.646371,8.28e-01,8.82e-01
76,-0.0031524098762832175,-9.552757200858235,-1.128009,-1.646371,8.28e-01,8.82e-01
77,-0.0031509821679571084,-9.548430811991238,-1.128009,-1.646371,8.28e-01,8.82e-01
78,-0.0031466990857278642,-9.535451774932922,-1.128009,-1.646371,8.27e-01,8.82e-01
79,-0.003145271405897802,-9.531125472417582,-1.128009,-1.646371,8.27e-01,8.82e-01
80,-0.003143843733247075,-9.526799191657803,-1.128009,-1.646371,8.27e-01,8.82e-01
81,-0.0031424160677650903,-9.522472932621486,-1.128009,-1.646371,8.27e-01,8.82e-01
82,-0.0031409884096730437,-9.51814669597892,-1.128009,-1.646371,8.27e-01,8.81e-01
83,-0.003139560758471227,-9.51382048021584,-1.128009,-1.646371,8.27e-01,8.81e-01
84,-0.00313527784818581,-9.500841964199424,-1.128009,-1.646371,8.27e-01,8.81e-01
85,-0.003133850225909094,-9.496515836088165,-1.128009,-1.646371,8.27e-01,8.81e-01
86,-0.003132422610877665,-9.492189729932319,-1.128009,-1.646371,8.27e-01,8.81e-01
87,-0.0031309950030585267,-9.487863645631899,-1.128009,-1.646371,8.26e-01,8.81e-01
88,-0.0031295674025244784,-9.48353758340751,-1.128009,-1.646371,8.26e-01,8.81e-01
89,-0.003125284644497491,-9.470559528780276,-1.128009,-1.646371,8.26e-01,8.81e-01
90,-0.00312385707308024,-9.466233554788607,-1.128009,-1.646371,8.26e-01,8.81e-01
91,-0.0031224295089127543,-9.461907602765923,-1.128009,-1.646371,8.26e-01,8.81e-01
92,-0.0031210019521464706,-9.457581673171124,-1.128009,-1.646371,8.26e-01,8.81e-01
93,-0.003119574402663322,-9.45325576564643,-1.128009,-1.646371,8.26e-01,8.81e-01
94,-0.0031152917982577313,-9.44027817653858,-1.128009,-1.646371,8.26e-01,8.81e-01
95,-0.00311386427817228,-9.435952358097818,-1.128009,-1.646371,8.26e-01,8.80e-01
96,-0.0031124367654493143,-9.431626561967619,-1.128009,-1.646371,8.25e-01,8.80e-01
97,-0.0031110092601366077,-9.42730078829275,-1.128009,-1.646371,8.25e-01,8.80e-01
98,-0.003109581762206617,-9.42297503698975,-1.128009,-1.646371,8.25e-01,8.80e-01
99,-0.003108154271682136,-9.418649308127685,-1.128009,-1.646371,8.25e-01,8.80e-01
100,-0.003103871844637853,-9.405672256478342,-1.128009,-1.646371,8.25e-01,8.80e-01
101,-0.00310244438384724,-9.40134661771891,-1.128009,-1.646371,8.25e-01,8.80e-01
102,-0.0031010169304796623,-9.397021001453522,-1.128009,-1.646371,8.25e-01,8.80e-01
103,-0.0030995894846176765,-9.392695407932353,-1.128009,-1.646371,8.25e-01,8.80e-01
104,-0.003098162046229366,-9.388369837058685,-1.128009,-1.646371,8.25e-01,8.80e-01
105,-0.0030938797759932266,-9.375393260585534,-1.128009,-1.646371,8.24e-01,8.80e-01
106,-0.0030924523676072405,-9.371067780628001,-1.128009,-1.646371,8.24e-01,8.80e-01
107,-0.0030910249667499795,-9.366742323484786,-1.128009,-1.646371,8.24e-01,8.80e-01
108,-0.0030895975734619007,-9.362416889278487,-1.128009,-1.646371,8.24e-01,8.80e-01
109,-0.003088170187664899,-9.358091477772422,-1.128009,-1.646371,8.24e-01,8.79e-01
110,-0.003086742809457856,-9.35376608926623,-1.128009,-1.646371,8.24e-01,8.79e-01
111,-0.0030824607203046557,-9.34079006152926,-1.128009,-1.646371,8.24e-01,8.79e-01
112,-0.0030810333724454885,-9.336464764986328,-1.128009,-1.646371,8.24e-01,8.79e-01
113,-0.003079606032295778,-9.332139491805387,-1.128009,-1.646371,8.24e-01,8.79e-01
114,-0.0030781786995752593,-9.32781424113715,-1.128009,-1.646371,8.23e-01,8.79e-01
115,-0.003076751374592655,-9.323489013917136,-1.128009,-1.646371,8.23e-01,8.79e-01
116,-0.0030724694455256563,-9.310513471289868,-1.128009,-1.646371,8.23e-01,8.79e-01
117,-0.0030710421511947915,-9.306188336953914,-1.128009,-1.646371,8.23e-01,8.79e-01
118,-0.003069614864532655,-9.30186322585653,-1.128009,-1.646371,8.23e-01,8.79e-01
119,-0.0030681875855729504,-9.29753813809985,-1.128009,-1.646371,8.23e-01,8.79e-01
120,-0.0030667603143297575,-9.293213073726537,-1.128009,-1.646371,8.23e-01,8.79e-01
121,-0.003062478547001743,-9.280238021217404,-1.128009,-1.646371,8.23e-01,8.78e-01
122,-0.003061051306648693,-9.275913050450585,-1.128009,-1.646371,8.23e-01,8.78e-01
123,-0.0030596240740974005,-9.271588103325456,-1.128009,-1.646371,8.22e-01,8.78e-01
124,-0.0030581968493304016,-9.267263179789095,-1.128009,-1.646371,8.22e-01,8.78e-01
125,-0.0030567696325885245,-9.262938280571287,-1.128009,-1.646371,8.22e-01,8.78e-01
126,-0.003055342423294822,-9.258613403923702,-1.128009,-1.646371,8.22e-01,8.78e-01
127,-0.003051060842485365,-9.245638916622317,-1.128009,-1.646371,8.22e-01,8.78e-01
128,-0.0030496336645950573,-9.241314135136538,-1.128009,-1.646371,8.22e-01,8.78e-01
129,-0.003048206494570159,-9.236989377485331,-1.128009,-1.646371,8.22e-01,8.78e-01
130,-0.0030467793323666627,-9.232664643535342,-1.128009,-1.646371,8.22e-01,8.78e-01
131,-0.0030453521780700113,-9.228339933545488,-1.128009,-1.646371,8.22e-01,8.78e-01
132,-0.0030410707624750986,-9.215365946894238,-1.128009,-1.646371,8.21e-01,8.78e-01
133,-0.0030396436397805487,-9.21104133266833,-1.128009,-1.646371,8.21e-01,8.78e-01
134,-0.003038216524965839,-9.206716742320724,-1.128009,-1.646371,8.21e-01,8.77e-01
135,-0.0030367894181619047,-9.202392176248196,-1.128009,-1.646371,8.21e-01,8.77e-01
136,-0.00303536231927605,-9.198067634169847,-1.128009,-1.646371,8.21e-01,8.77e-01
137,-0.0030310810704288023,-9.185094152814552,-1.128009,-1.646371,8.21e-01,8.77e-01
138,-0.003029654003456358,-9.18076970744351,-1.128009,-1.646371,8.21e-01,8.77e-01
139,-0.0030282269444879416,-9.176445286327096,-1.128009,-1.646371,8.21e-01,8.77e-01
140,-0.003026799893543809,-9.172120889526694,-1.128009,-1.646371,8.21e-01,8.77e-01
141,-0.0030253728506365327,-9.167796517080403,-1.128009,-1.646371,8.20e-01,8.77e-01
142,-0.003023945815744957,-9.163472168924113,-1.128009,-1.646371,8.20e-01,8.77e-01
143,-0.0030196647594762055,-9.150499271140017,-1.128009,-1.646371,8.20e-01,8.77e-01
144,-0.00301823775688531,-9.146175020864575,-1.128009,-1.646371,8.20e-01,8.77e-01
145,-0.0030168107623825564,-9.141850795098655,-1.128009,-1.646371,8.20e-01,8.77e-01
146,-0.0030153837759862145,-9.13752659389762,-1.128009,-1.646371,8.20e-01,8.77e-01
147,-0.0030139567977293105,-9.133202417361547,-1.128009,-1.646371,8.20e-01,8.76e-01
148,-0.003009675911752355,-9.120230035613197,-1.128009,-1.646371,8.19e-01,8.76e-01
149,-0.0030082489660883736,-9.115905957843557,-1.128009,-1.646371,8.19e-01,8.76e-01
150,-0.0030068220287311933,-9.111581905246041,-1.128009,-1.646371,8.19e-01,8.76e-01
151,-0.0030053950992988145,-9.107257876663075,-1.128009,-1.646371,8.19e-01,8.76e-01
152,-0.003003968178202262,-9.102933873340188,-1.128009,-1.646371,8.19e-01,8.76e-01
153,-0.002999687464242766,-9.089962012856867,-1.128009,-1.646371,8.19e-01,8.76e-01
154,-0.002998260576072457,-9.085638109310477,-1.128009,-1.646371,8.19e-01,8.76e-01
155,-0.0029968336960825358,-9.081314230553138,-1.128009,-1.646371,8.19e-01,8.76e-01
156,-0.0029954068245272073,-9.076990377355173,-1.128009,-1.646371,8.19e-01,8.76e-01
157,-0.0029939799611755514,-9.072666549016823,-1.128009,-1.646371,8.19e-01,8.76e-01
158,-0.0029925531061207673,-9.068342745820507,-1.128009,-1.646371,8.18e-01,8.76e-01
159,-0.0029882725908463577,-9.055371487413206,-1.128009,-1.646371,8.18e-01,8.75e-01
160,-0.00298684576910746,-9.051047785174122,-1.128009,-1.646371,8.18e-01,8.75e-01
161,-0.002985418955704398,-9.046724108195146,-1.128009,-1.646371,8.18e-01,8.75e-01
162,-0.0029839921506781635,-9.042400456600495,-1.128009,-1.646371,8.18e-01,8.75e-01
163,-0.0029825653540430474,-9.038076830433477,-1.128009,-1.646371,8.18e-01,8.75e-01
164,-0.002978285014501617,-9.025106104550355,-1.128009,-1.646371,8.18e-01,8.75e-01
165,-0.002976858251496924,-9.02078258029371,-1.128009,-1.646371,8.17e-01,8.75e-01
166,-0.002975431496932509,-9.016459081613664,-1.128009,-1.646371,8.17e-01,8.75e-01
167,-0.002974004750854411,-9.01213560864973,-1.128009,-1.646371,8.17e-01,8.75e-01
168,-0.002972578013173769,-9.007812161132634,-1.128009,-1.646371,8.17e-01,8.75e-01
169,-0.00297115128400364,-9.00348873940497,-1.128009,-1.646371,8.17e-01,8.75e-01
170,-0.002966871147477045,-8.990518628718318,-1.128009,-1.646371,8.17e-01,8.75e-01
171,-0.0029654444523376164,-8.98619531011399,-1.128009,-1.646371,8.17e-01,8.74e-01
172,-0.002964017765785605,-8.981872017532137,-1.128009,-1.646371,8.17e-01,8.74e-01
173,-0.0029625910876844718,-8.977548750559006,-1.128009,-1.646371,8.17e-01,8.74e-01
174,-0.002961164418200017,-8.97322550969702,-1.128009,-1.646371,8.17e-01,8.74e-01
175,-0.0029568844612252857,-8.960255943106926,-1.128009,-1.646371,8.16e-01,8.74e-01
176,-0.0029554578261262424,-8.955932806443158,-1.128009,-1.646371,8.16e-01,8.74e-01
177,-0.002954031199525683,-8.951609695532373,-1.128009,-1.646371,8.16e-01,8.74e-01
178,-0.0029526045817808108,-8.947286611457002,-1.128009,-1.646371,8.16e-01,8.74e-01
179,-0.002951177972589611,-8.942963553301851,-1.128009,-1.646371,8.16e-01,8.74e-01
180,-0.0029468981970149502,-8.929994536408941,-1.128009,-1.646371,8.16e-01,8.74e-01
181,-0.0029454716224681715,-8.925671583236884,-1.128009,-1.646371,8.16e-01,8.74e-01
182,-0.002944045056779889,-8.921348656908755,-1.128009,-1.646371,8.15e-01,8.74e-01
183,-0.002942618499748956,-8.917025756815018,-1.128009,-1.646371,8.15e-01,8.73e-01
184,-0.0029411919514491422,-8.912702883179218,-1.128009,-1.646371,8.15e-01,8.73e-01
185,-0.0029397654119041,-8.90838003607303,-1.128009,-1.646371,8.15e-01,8.73e-01
186,-0.002935485845902602,-8.89541165425031,-1.128009,-1.646371,8.15e-01,8.73e-01
187,-0.002934059341490739,-8.8910889136083,-1.128009,-1.646371,8.15e-01,8.73e-01
188,-0.002932632845986256,-8.886766199958352,-1.128009,-1.646371,8.15e-01,8.73e-01
189,-0.0029312063591219353,-8.882443512490713,-1.128009,-1.646371,8.15e-01,8.73e-01
190,-0.002929779881199786,-8.878120852120563,-1.128009,-1.646371,8.15e-01,8.73e-01
191,-0.0029255005005718576,-8.865153032035932,-1.128009,-1.646371,8.14e-01,8.73e-01
192,-0.002924074058149781,-8.860830479241761,-1.128009,-1.646371,8.14e-01,8.73e-01
193,-0.002922647624614386,-8.856507953376926,-1.128009,-1.646371,8.14e-01,8.73e-01
194,-0.002921221200000377,-8.852185454546596,-1.128009,-1.646371,8.14e-01,8.73e-01
195,-0.0029197947843271,-8.847862982809394,-1.128009,-1.646371,8.14e-01,8.73e-01
196,-0.002915515591025498,-8.834895730380298,-1.128009,-1.646371,8.14e-01,8.72e-01
197,-0.0029140892111848343,-8.830573367226771,-1.128009,-1.646371,8.14e-01,8.72e-01
198,-0.0029126628403608862,-8.826251031396625,-1.128009,-1.646371,8.13e-01,8.72e-01
199,-0.002911236478548439,-8.821928722874057,-1.128009,-1.646371,8.13e-01,8.72e-01
200,-0.0029098101257582793,-8.817606441691755,-1.128009,-1.646371,8.13e-01,8.72e-01
201,-0.002908383782006187,-8.813284187897535,-1.128009,-1.646371,8.13e-01,8.72e-01
202,-0.0029041048051053294,-8.800317591228271,-1.128009,-1.646371,8.13e-01,8.72e-01
203,-0.0029026784976368793,-8.795995447384483,-1.128009,-1.646371,8.13e-01,8.72e-01
204,-0.0029012521993435625,-8.791673331344128,-1.128009,-1.646371,8.13e-01,8.72e-01
205,-0.00289982591002043,-8.787351242486151,-1.128009,-1.646371,8.13e-01,8.72e-01
206,-0.002898399629911133,-8.783029181548889,-1.128009,-1.646371,8.13e-01,8.72e-01
207,-0.0028941208444613455,-8.770063165034381,-1.128009,-1.646371,8.12e-01,8.71e-01
208,-0.0028926946010165004,-8.765741215201516,-1.128009,-1.646371,8.12e-01,8.71e-01
209,-0.0028912683667496066,-8.761419293180627,-1.128009,-1.646371,8.12e-01,8.71e-01
210,-0.0028898421417011054,-8.757097399094258,-1.128009,-1.646371,8.12e-01,8.71e-01
211,-0.0028884159258844334,-8.752775532983131,-1.128009,-1.646371,8.12e-01,8.71e-01
212,-0.0028841373339486918,-8.739810102874824,-1.128009,-1.646371,8.12e-01,8.71e-01
213,-0.002882711155124782,-8.735488348862976,-1.128009,-1.646371,8.12e-01,8.71e-01
214,-0.0028812849856358117,-8.731166623138824,-1.128009,-1.646371,8.11e-01,8.71e-01
215,-0.002879858825456625,-8.726844925626136,-1.128009,-1.646371,8.11e-01,8.71e-01
216,-0.002878432674598494,-8.722523256359073,-1.128009,-1.646371,8.11e-01,8.71e-01
217,-0.0028770065330767447,-8.718201615384075,-1.128009,-1.646371,8.11e-01,8.71e-01
218,-0.002872728164664658,-8.705236862620175,-1.128009,-1.646371,8.11e-01,8.70e-01
219,-0.0028713020606272333,-8.70091533523404,-1.128009,-1.646371,8.11e-01,8.70e-01
220,-0.00286987596606208,-8.696593836551758,-1.128009,-1.646371,8.11e-01,8.70e-01
221,-0.0028684498807778377,-8.692272365993448,-1.128009,-1.646371,8.11e-01,8.70e-01
222,-0.0028670238050062208,-8.687950924261274,-1.128009,-1.646371,8.10e-01,8.70e-01
223,-0.0028627456343915327,-8.674986770883432,-1.128009,-1.646371,8.10e-01,8.70e-01
224,-0.002861319596501504,-8.670665443943951,-1.128009,-1.646371,8.10e-01,8.70e-01
225,-0.002859893568095392,-8.666344145743611,-1.128009,-1.646371,8.10e-01,8.70e-01
226,-0.002858467549213397,-8.662022876404233,-1.128009,-1.646371,8.10e-01,8.70e-01
227,-0.002857041539870883,-8.657701635972373,-1.128009,-1.646371,8.10e-01,8.70e-01
228,-0.002852763569193429,-8.644738088464935,-1.128009,-1.646371,8.10e-01,8.70e-01
229,-0.002851337598088122,-8.6404169639034,-1.128009,-1.646371,8.09e-01,8.69e-01
230,-0.002849911636618383,-8.636095868540554,-1.128009,-1.646371,8.09e-01,8.69e-01
231,-0.0028484856847683757,-8.631774802328412,-1.128009,-1.646371,8.09e-01,8.69e-01
232,-0.0028470597425500573,-8.627453765303205,-1.128009,-1.646371,8.09e-01,8.69e-01
233,-0.0028456338099803755,-8.62313275751629,-1.128009,-1.646371,8.09e-01,8.69e-01
234,-0.002841356070302419,-8.61016991000733,-1.128009,-1.646371,8.09e-01,8.69e-01
235,-0.0028399301764706485,-8.605849019608026,-1.128009,-1.646371,8.09e-01,8.69e-01
236,-0.0028385042924420904,-8.601528158915425,-1.128009,-1.646371,8.09e-01,8.69e-01
237,-0.002837078417979478,-8.59720732721054,-1.128009,-1.646371,8.08e-01,8.69e-01
238,-0.0028356525533595636,-8.59288652533201,-1.128009,-1.646371,8.08e-01,8.69e-01
239,-0.002831375018108986,-8.579924297299957,-1.128009,-1.646371,8.08e-01,8.69e-01
240,-0.002829949192643446,-8.575603614071047,-1.128009,-1.646371,8.08e-01,8.68e-01
241,-0.0028285233769827986,-8.571282960553935,-1.128009,-1.646371,8.08e-01,8.68e-01
242,-0.002827097571162265,-8.566962336855347,-1.128009,-1.646371,8.08e-01,8.68e-01
243,-0.0028256717752058002,-8.56264174304788,-1.128009,-1.646371,8.08e-01,8.68e-01
244,-0.002821394446587308,-8.54968014117366,-1.128009,-1.646371,8.07e-01,8.68e-01
245,-0.0028199686901625443,-8.545359667159225,-1.128009,-1.646371,8.07e-01,8.68e-01
246,-0.002818542943710189,-8.541039223364209,-1.128009,-1.646371,8.07e-01,8.68e-01
247,-0.0028171172071859334,-8.536718809654344,-1.128009,-1.646371,8.07e-01,8.68e-01
248,-0.0028156914806126377,-8.532398426098903,-1.128009,-1.646371,8.07e-01,8.68e-01
249,-0.002814265764016883,-8.528078072778433,-1.128009,-1.646371,8.07e-01,8.68e-01
250,-0.002809988674223234,-8.515117194615861,-1.128009,-1.646371,8.07e-01,8.68e-01
251,-0.0028085629976750976,-8.510796962651812,-1.128009,-1.646371,8.07e-01,8.67e-01
252,-0.002807137331261239,-8.506476761397694,-1.128009,-1.646371,8.06e-01,8.67e-01
253,-0.0028057116747415367,-8.50215659012587,-1.128009,-1.646371,8.06e-01,8.67e-01
254,-0.0028042860283923514,-8.497836449673793,-1.128009,-1.646371,8.06e-01,8.67e-01
255,-0.002800009149956603,-8.484876211989706,-1.128009,-1.646371,8.06e-01,8.67e-01
256,-0.0027985835440930006,-8.480556194221213,-1.128009,-1.646371,8.06e-01,8.67e-01
257,-0.0027971579484868414,-8.476236207535884,-1.128009,-1.646371,8.06e-01,8.67e-01
258,-0.0027957323628179974,-8.471916250963629,-1.128009,-1.646371,8.06e-01,8.67e-01
259,-0.002794306787470223,-8.467596325667342,-1.128009,-1.646371,8.06e-01,8.67e-01
260,-0.0027900301226823536,-8.454636735401072,-1.128009,-1.646371,8.05e-01,8.67e-01
261,-0.0027886045882364176,-8.45031693404975,-1.128009,-1.646371,8.05e-01,8.67e-01
262,-0.0027871790640575534,-8.445997163810768,-1.128009,-1.646371,8.05e-01,8.66e-01
263,-0.0027857535502037773,-8.44167742485993,-1.128009,-1.646371,8.05e-01,8.66e-01
264,-0.002784328046564289,-8.43735771686148,-1.128009,-1.646371,8.05e-01,8.66e-01
265,-0.0027829025532813004,-8.433038040246364,-1.128009,-1.646371,8.05e-01,8.66e-01
266,-0.0027786261354777763,-8.420079198417504,-1.128009,-1.646371,8.04e-01,8.66e-01
267,-0.002777200683611852,-8.415759647308644,-1.128009,-1.646371,8.04e-01,8.66e-01
268,-0.0027757752422478852,-8.411440128023894,-1.128009,-1.646371,8.04e-01,8.66e-01
269,-0.002774349811077456,-8.407120639628655,-1.128009,-1.646371,8.04e-01,8.66e-01
270,-0.0027729243904417947,-8.402801183156955,-1.128009,-1.646371,8.04e-01,8.66e-01
271,-0.0027686481912440196,-8.389843003769757,-1.128009,-1.646371,8.04e-01,8.66e-01
272,-0.002767222812484681,-8.385523674196003,-1.128009,-1.646371,8.04e-01,8.65e-01
273,-0.0027657974441774526,-8.381204376295312,-1.128009,-1.646371,8.04e-01,8.65e-01
274,-0.0027643720864707726,-8.376885110517494,-1.128009,-1.646371,8.03e-01,8.65e-01
275,-0.0027629467392820033,-8.372565876612132,-1.128009,-1.646371,8.03e-01,8.65e-01
276,-0.0027586707610682618,-8.35960836687352,-1.128009,-1.646371,8.03e-01,8.65e-01
277,-0.00275724545619171,-8.355289261187,-1.128009,-1.646371,8.03e-01,8.65e-01
278,-0.0027558201620831333,-8.350970188130708,-1.128009,-1.646371,8.03e-01,8.65e-01
279,-0.0027543948783112244,-8.34665114639765,-1.128009,-1.646371,8.03e-01,8.65e-01
280,-0.0027529696053447614,-8.342332137408368,-1.128009,-1.646371,8.03e-01,8.65e-01
281,-0.0027486938505348183,-8.329375304650965,-1.128009,-1.646371,8.02e-01,8.65e-01
282,-0.0027472686203507315,-8.325056425305247,-1.128009,-1.646371,8.02e-01,8.65e-01
283,-0.0027458434008937166,-8.320737578465808,-1.128009,-1.646371,8.02e-01,8.64e-01
284,-0.0027444181922114826,-8.31641876427722,-1.128009,-1.646371,8.02e-01,8.64e-01
285,-0.0027429929943222076,-8.31209998279457,-1.128009,-1.646371,8.02e-01,8.64e-01
286,-0.0027415678071470015,-8.307781233778792,-1.128009,-1.646371,8.02e-01,8.64e-01
287,-0.0027372923106430474,-8.294825183766811,-1.128009,-1.646371,8.02e-01,8.64e-01
288,-0.002735867166834486,-8.290506566165108,-1.128009,-1.646371,8.01e-01,8.64e-01
289,-0.002734442033892337,-8.28618798149193,-1.128009,-1.646371,8.01e-01,8.64e-01
290,-0.0027330169118304597,-8.281869429789271,-1.128009,-1.646371,8.01e-01,8.64e-01
291,-0.0027315918006958367,-8.277550911199505,-1.128009,-1.646371,8.01e-01,8.64e-01
